,Ticker,CIK
1238,cac,750686
1239,caca,1629702
1240,cacc,885550
1241,caci,16058
1242,cacq,1575879
1243,cade,1614184
1244,cadnf,1225525
1245,cae,1173382
1246,cafd,1635581
1247,cag,23217
1248,cah,721371
1249,cai,1388430
1250,caj,16988
1251,cake,887596
1252,cal,14707
1253,cala,1496671
1254,calb,1752036
1255,cald,1035748
1256,cali,1355042
1257,calm,16160
1258,calt,1795579
1259,calx,1406666
1260,camp,730255
1261,camt,1109138
1262,can,1780652
1263,canb,1509957
1264,cane,1471824
1265,canf,1536196
1266,cang,1725123
1267,cann,1477009
1268,capc,814926
1269,cape,312070
1270,capl,1538849
1271,capp,1558432
1272,capr,1133869
1273,caps,887151
1274,car,723612
1275,cara,1346830
1276,carg,1494259
1277,carh,1787100
1278,caro,870385
1279,carr,1783180
1280,cars,1683606
1281,carv,1016178
1282,casa,1333835
1283,cash,907471
1284,casi,895051
1285,casm,764579
1286,cass,708781
1287,casy,726958
1288,cat,18230
1289,catb,1454789
1290,catc,711772
1291,catm,1671013
1292,catn,1632275
1293,cato,18255
1294,cats,1136174
1295,caty,861842
1296,cavm,1175609
1297,caw,721447
1298,cb,896159
1299,cbai,1289496
1300,cban,711669
1301,cbat,1117171
1302,cbay,1042074
1303,cbb,716133
1304,cbd,1038572
1305,cbdef,1539042
1306,cbds,1360442
1307,cbdy,1586554
1308,cbev,1020186
1309,cbf,1479750
1310,cbfv,1605301
1311,cbio,1124105
1312,cbkc,883943
1313,cbkm,1006830
1314,cbl,910612
1315,cbli,1318641
1316,cbmb,1742089
1317,cbmg,1378624
1318,cbmx,1383183
1319,cbnk,1419536
1320,cbnt,1421636
1321,cboe,1374310
1322,cbpo,1369868
1323,cbpx,1592480
1324,cbre,1138118
1325,cbrl,1067294
1326,cbs,813828
1327,cbsh,22356
1328,cbt,16040
1329,cbu,723188
1330,cbz,944148
1331,cc,1627223
1332,ccaa,794107
1333,ccac,1794621
1334,ccac-un,1794621
1335,ccac-wt,1794621
1336,ccan,1532424
1337,ccap,1633336
1338,ccb,1437958
1339,ccbg,726601
1340,ccc,1764046
1341,cccl,1470683
1342,ccel,862692
1343,ccep,1650107
1344,ccf,830524
1345,ccgn,1439299
1346,cch,1739566
1347,cch-un,1739566
1348,cch-wt,1739566
1349,cci,1051470
1350,ccihy,1498576
1351,cci-pa,1051470
1352,ccj,1009001
1353,cck,1219601
1354,ccl,815097
1355,cclp,1449488
1356,ccm,1472072
1357,ccmp,1102934
1358,ccnc,1641398
1359,ccncw,1641398
1360,ccne,736772
1361,cco,1334978
1362,ccob,1456802
1363,ccoi,1158324
1364,ccop,1161706
1365,ccr,1637558
1366,ccrc,1620664
1367,ccre,1083848
1368,ccrn,1141103
1369,ccs,1576940
1370,ccsb,1682593
1371,cctc,1445109
1372,ccu,888746
1373,ccur,749038
1374,ccx,1774675
1375,ccxi,1340652
1376,ccx-un,1774675
1377,ccx-wt,1774675
1378,ccxx,1793229
1379,ccxx-un,1793229
1380,ccxx-wt,1793229
1381,ccyc,1681769
1382,ccz,1166691
1383,cdak,1659352
1384,cday,1725057
1385,cde,215466
1386,cdev,1658566
1387,cdix,811222
1388,cdixd,811222
1389,cdk,1609702
1390,cdlx,1666071
1391,cdmo,704562
1392,cdmop,704562
1393,cdna,1217234
1394,cdns,813672
1395,cdor,929545
1396,cdp,1786485
1397,cdr,761648
1398,cdr-pb,761648
1399,cdr-pc,761648
1400,cdti,949428
1401,cdtx,1610618
1402,cdw,1402057
1403,cdxc,1386570
1404,cdxi,1544238
1405,cdxs,1200375
1406,cdzi,727273
1407,ce,1306830
1408,cea,1030475
1409,cece,3197
1410,cef,1726122
1411,cefd,1114446
1412,cefl,1114446
1413,cefz,1114446
1414,cei,1309082
1415,ceix,1710366
1416,cel,1385145
1417,celc,1603454
1418,celg-ri,14272
